FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
321,1,1,1,3,2,5,6,5,2,1
322,1,1,1,3,2,7,3,5,2,1
323,1,1,5,3,4,4,7,4,2,1
324,1,1,4,2,1,5,5,2,9,1
325,1,1,3,2,1,4,8,5,2,1
326,1,1,3,2,2,6,7,1,7,1
327,1,1,3,2,2,3,7,1,9,1
328,1,1,3,2,1,5,5,2,9,1
329,1,1,2,2,2,5,8,5,2,1
330,1,1,2,2,1,5,7,5,2,1
331,1,1,2,2,1,5,8,5,2,1
332,1,1,2,3,3,8,5,5,2,1
333,1,1,2,3,2,8,5,5,2,1
334,1,1,2,2,2,3,5,1,2,1
335,1,1,1,3,3,8,6,7,2,1
336,1,1,1,3,2,8,6,5,2,1
337,1,1,1,3,2,8,7,5,2,1
338,1,1,1,3,2,8,7,5,2,1
339,1,1,5,3,3,6,6,4,7,1
340,1,1,5,3,4,3,2,4,7,1
341,1,1,5,3,3,3,2,4,7,1
342,1,3,5,3,2,5,6,4,6,1
343,1,1,1,3,1,7,6,5,2,1
344,1,1,1,3,1,8,5,5,2,1
345,1,1,1,3,1,5,7,2,2,1
346,1,1,1,3,1,4,7,2,2,1
347,1,1,1,3,2,4,6,1,2,1
348,1,1,1,3,2,4,6,3,9,1
349,1,1,1,3,2,4,7,4,2,1
350,1,1,4,3,2,6,2,4,2,1
351,1,1,4,3,3,4,7,5,3,1
352,1,1,4,3,2,5,6,4,2,1
353,1,1,4,3,2,4,3,5,5,1
354,1,1,3,3,2,4,5,5,5,1
355,1,1,3,3,1,5,6,4,6,1
356,1,1,2,3,2,2,7,5,6,1
357,1,1,5,2,2,5,4,5,6,1
358,1,1,5,2,2,4,4,5,6,1
359,1,1,5,3,1,2,7,4,5,1
360,1,1,5,2,1,6,4,5,2,1
361,1,1,1,3,2,2,7,5,2,1
362,1,2,1,2,1,4,7,5,3,1
363,5,1,5,3,4,4,5,4,2,1
364,5,1,5,3,5,4,5,4,2,1
365,1,1,1,4,5,7,7,4,2,1
366,1,2,1,2,4,8,6,5,3,1
367,1,1,5,3,3,3,2,4,7,1
