FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
228,5,1,5,4,3,3,9,4,2,0
229,5,1,5,4,3,4,9,4,2,0
230,5,2,5,4,5,3,3,4,7,0
231,5,1,5,4,4,4,8,4,2,0
232,4,4,3,2,5,4,5,4,2,0
233,5,1,4,2,1,1,1,3,1,0
234,3,2,2,2,2,2,1,3,3,0
235,3,2,1,2,2,1,1,3,1,0
236,3,4,3,2,3,3,2,4,6,0
237,5,4,5,4,5,2,2,4,7,0
238,5,4,5,4,5,6,5,4,7,0
239,5,1,5,4,5,5,2,4,6,0
240,5,1,5,4,5,2,5,4,6,0
241,5,1,5,4,5,6,7,4,6,0
242,5,1,5,4,4,5,8,4,7,0
243,5,5,5,4,5,4,7,4,7,0
244,5,3,5,4,4,2,2,4,6,0
245,5,4,5,4,4,4,8,4,7,0
246,5,5,5,4,4,2,6,4,7,0
247,5,5,5,4,4,4,8,4,7,0
248,5,4,5,4,5,4,4,4,6,0
249,5,5,5,4,3,4,3,4,2,0
250,5,1,5,4,1,5,2,4,6,0
251,5,1,5,4,2,4,6,4,2,0
252,5,1,5,4,4,5,3,4,6,0
253,5,1,5,4,5,5,8,4,6,0
254,5,2,5,4,4,4,9,4,2,0
255,5,1,5,4,5,5,5,4,6,0
256,5,1,5,4,4,5,2,4,6,0
257,5,1,5,4,4,6,6,4,6,0
258,5,1,5,4,3,5,4,4,2,0
259,5,1,3,4,4,5,8,4,6,0
260,5,2,5,4,3,4,5,4,2,0
261,5,4,3,2,3,5,2,4,2,0
262,5,1,5,4,5,4,6,4,6,0
263,5,1,5,2,4,4,6,4,6,0
264,5,1,5,2,3,2,4,2,9,0
265,2,1,2,2,4,4,9,4,9,0
266,3,2,2,2,5,4,6,5,3,0
267,4,1,3,2,4,2,9,4,6,0
268,4,1,2,2,3,4,2,4,6,0
269,4,1,1,2,5,4,6,4,7,0
270,3,1,1,2,4,3,2,4,7,0
271,2,1,3,2,2,8,7,4,7,0
272,5,4,5,3,2,3,3,1,9,0
273,5,1,5,3,3,1,8,1,2,0
274,5,1,5,3,3,6,5,4,2,0
275,5,1,5,3,4,2,9,4,2,0
276,5,1,5,3,3,4,9,4,7,0
277,5,1,4,2,4,4,5,4,2,0
278,5,1,5,2,3,4,2,4,3,0
279,3,1,5,2,2,3,7,3,7,0
280,3,1,5,2,4,3,7,4,2,0
281,2,1,5,2,3,5,9,4,7,0
282,5,4,5,2,4,5,3,4,7,0
283,5,3,5,3,5,7,7,4,7,0
284,4,1,5,2,4,1,7,4,6,0
285,3,1,5,3,4,5,5,4,7,0
286,3,4,5,3,5,4,7,4,9,0
287,2,1,1,3,5,2,6,4,2,0
288,4,1,4,2,1,1,1,2,9,0
289,5,1,3,2,1,1,1,2,9,0
290,5,1,5,2,1,1,1,2,9,0
291,5,4,3,2,4,5,3,4,2,0
292,5,1,5,2,3,2,8,4,2,0
293,5,1,5,2,5,2,9,4,2,0
294,5,1,5,2,4,2,3,4,2,0
295,5,1,5,2,5,3,8,4,2,0
296,2,1,2,3,3,6,9,4,2,0
297,3,1,5,3,5,4,7,4,5,0
298,3,1,5,3,2,2,3,3,9,0
299,2,1,5,3,2,1,5,3,5,0
300,4,1,4,3,3,3,6,1,2,0
301,5,1,5,3,3,5,9,4,7,0
302,5,5,5,3,4,5,2,4,7,0
303,5,5,5,3,4,6,9,4,7,0
304,5,3,5,3,3,4,3,4,7,0
305,5,4,5,3,5,2,4,4,7,0
306,5,1,5,3,4,4,3,4,7,0
307,5,1,5,3,5,3,5,4,7,0
308,5,1,5,3,3,4,9,4,7,0
309,5,1,5,3,4,4,7,4,7,0
310,5,1,5,3,5,6,4,4,2,0
311,5,3,5,3,3,4,6,4,7,0
312,5,3,5,3,4,5,3,4,7,0
313,5,5,5,3,2,1,6,3,1,0
314,5,3,5,3,5,1,1,4,2,0
315,5,5,5,3,5,3,5,4,7,0
316,5,1,5,3,4,2,9,4,7,0
317,5,1,5,3,3,4,3,4,7,0
318,5,1,5,3,5,4,7,4,7,0
319,5,2,5,3,3,5,9,4,7,0
320,5,1,5,3,3,3,5,4,7,0
321,5,1,5,3,4,4,3,4,7,0
322,5,4,5,3,3,4,3,4,2,0
323,5,2,5,3,3,4,3,4,7,0
324,5,2,5,3,5,4,4,4,2,0
325,5,2,5,3,5,3,4,4,7,0
326,5,2,5,3,5,3,5,4,7,0
327,5,2,5,3,3,4,4,4,2,0
328,5,2,5,3,2,2,3,3,9,0
329,5,1,5,2,5,4,4,4,2,0
330,5,1,5,2,3,7,9,4,2,0
331,5,1,5,2,2,4,3,4,6,0
332,5,1,5,2,5,5,8,4,7,0
333,5,1,5,2,2,2,4,3,5,0
334,5,1,5,2,3,2,8,4,5,0
335,5,1,5,3,3,4,4,4,3,0
336,5,1,5,3,3,2,4,1,3,0
337,5,1,5,3,3,2,5,3,5,0
338,5,1,5,3,3,5,8,4,7,0
339,5,1,5,3,3,2,3,4,2,0
340,5,2,5,3,4,2,9,4,5,0
341,5,2,5,3,5,2,8,7,5,0
342,5,2,5,3,2,1,8,3,5,0
343,5,1,5,2,2,1,1,2,9,0
344,5,1,5,3,3,3,3,4,2,0
345,3,1,1,3,2,1,2,3,9,0
346,1,5,5,4,5,5,7,4,2,0
347,1,4,5,4,5,2,6,2,2,0
348,1,1,2,2,2,1,4,3,9,0
349,1,1,5,4,4,1,8,4,2,0
350,1,1,3,2,2,1,1,3,1,0
351,1,2,5,2,3,1,1,3,1,0
352,1,3,1,2,4,3,2,4,6,0
353,1,4,5,2,3,5,4,4,7,0
354,1,1,5,2,2,4,4,4,9,0
355,1,1,1,2,3,6,4,2,9,0
356,1,5,5,3,4,1,5,4,5,0
357,1,1,2,2,4,3,7,4,7,0
358,1,1,5,2,2,2,6,2,9,0
359,5,2,5,3,5,5,6,4,2,0
360,5,1,4,3,2,2,9,3,3,0
361,5,1,3,3,2,3,3,7,9,0
362,5,1,5,3,4,1,2,4,3,0
363,5,1,5,3,5,2,2,4,3,0
364,5,1,5,3,2,1,4,2,3,0
365,5,1,5,3,4,3,3,4,3,0
366,5,1,5,3,4,2,4,4,3,0
367,5,1,5,3,2,2,6,3,3,0
